"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1.32515393617098e-07,4.73737786673384e-05,5.50732122262649e-08,8.39126758669171e-05,2.90577641035701e-08,5.40443160937211e-05,1.17721408439495e-08,2.0210888022326e-07,2.25227325414369e-05,7.80769750645957e-08,0.000729754944246713,9.90113077347645e-08,6.8072957623544e-09,0.456691838227328,0.000129607826915521
"2",2.08950170041152e-10,5.59927651276452e-05,5.04271458795743e-09,1.84917278223856e-05,9.49513559735252e-10,0.000328876300303961,7.42865826207253e-09,2.258054888374e-06,6.7524430330709e-05,1.53395175523594e-07,1.54762522080838e-06,1.98316387191538e-08,4.42662471945366e-06,9.17151011056282e-06,0.000519744756267045
"3",1.4786784154219e-08,3.05023959802979e-06,1.4172974241596e-08,0.0160515037615512,1.78066920310956e-08,0.198746574176965,2.47612433094485e-08,0.133843430890886,7.43251061464305e-07,8.77059661822559e-08,8.49749891472274e-07,3.08160754426854e-09,0.017007443569404,6.94056678918173e-09,1.74706108489163e-05
"4",8.97860215431901e-07,0.217109732719659,6.11621383950143e-11,0.00025466084775291,6.79908223255241e-09,0.000342164550304318,5.62088436689523e-09,7.66098768543446e-08,0.628759948798382,0.43206784606637,0.577663638194088,1.52259740655019e-11,0.571068097733552,3.23476389536424e-07,3.01575147074991e-05
"5",2.81285531597613e-07,0.000189499289518048,5.89944966754268e-10,1.02714071721774e-05,0.184937274979979,0.0010503882394937,1.46889851707383e-08,0.857787579972031,6.44311464334606e-05,0.340710817642337,1.01375993346786e-06,3.7442775061529e-08,8.4420065216465e-07,0.077581126232204,6.66918007440911e-05
"6",0.0332023276057044,2.74405763548287e-05,2.39220166095627e-10,1.92564309521692e-05,3.33537840300974e-05,0.121348723767439,0.999999862256229,8.27789701705298e-07,5.55207017170559e-05,0.209631681035014,9.10340239008344e-07,2.34219290930397e-08,0.00899631433652247,2.00367646297742e-07,6.21203954755051e-05
"7",4.59672170586244e-07,2.30878218954883e-08,0.389551673086471,4.43402152937753e-06,0.385180523000341,0.156077003664557,1.0893042184007e-08,0.00836380171408918,6.00765349827501e-07,0.017582125550254,4.6164003758159e-06,1.09874263440541e-08,0.00918495064575617,0.0181199805776198,0.00256260423754825
"8",1.19748479937199e-07,0.103572344634697,6.10936556857237e-09,4.40487270053554e-06,9.65530581397416e-09,0.000158666700136341,4.31838225842052e-09,8.45743648016832e-07,0.0250812457605579,5.77661783173812e-08,5.89481180003344e-07,1.79650138837676e-08,2.05898401254271e-06,0.0449184717987684,0.297187284124781
"9",1.91763327435836e-05,0.116458861862706,2.07290109089956e-09,0.144957471653087,0.429848714854559,0.521536266494806,2.16911270738501e-08,6.5093282544314e-08,6.59191585919636e-05,7.19360326518126e-08,2.07160444195696e-07,1.1457422061258e-08,3.20115712561624e-05,9.15102003850666e-07,7.51840491727477e-05
"10",0.31828540789156,0.03979992167529,6.7980778653477e-09,0.547441847052966,5.98627434442858e-09,0.000116383024829399,5.19260840397695e-09,7.00708464687716e-08,0.345700691857602,5.59366048661454e-06,5.66070085024424e-05,7.41610913834235e-08,1.55665562236304e-05,4.63947478749455e-07,0.000145223211034451
"11",0.110195907315597,2.26821192285073e-05,4.85964280015882e-08,0.212449594249936,2.13929793248646e-08,7.81981182169642e-05,3.87811367203487e-09,1.62127306433654e-07,0.000158552761401131,1.27227010662577e-06,0.421535530728517,0.999999673566219,2.1676912031227e-07,6.18827727136805e-07,0.587584604348691
"12",1.14832073881583e-08,0.108794641009776,0.610447554496831,0.0776412766685818,6.05207133336774e-09,6.63690213417534e-05,6.97784325096769e-09,1.02369746310439e-07,4.73005045769173e-06,5.69397389658304e-08,1.29616749079032e-07,3.15980090769078e-09,0.235376578851007,0.036656334252979,2.28947118505688e-05
"13",0.538294922156551,0.0608356863864796,1.18176898058194e-08,0.00106038330948197,2.35179407837707e-08,5.40110143777393e-05,1.16060447375272e-08,4.1423866115872e-07,1.03316015170385e-05,4.44780302031781e-08,1.23204638431877e-06,1.09881238713561e-08,0.158310827873011,0.36601901877343,0.000180874107611819
"14",3.41137627606037e-07,0.353082749858171,6.21842609203676e-07,2.49132057666848e-06,1.21634385044795e-08,4.23306098764494e-05,8.9144110181984e-09,1.632160429318e-07,7.23698416954424e-06,1.13477718852829e-07,3.37294423571649e-06,1.49105059044406e-08,6.55480517169193e-07,1.52996983250251e-06,0.111415538313842
